2014-10-30 08:13:29,;.?40439700013,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700013', 1, 1, 'B+ Voltage Check', 'NG', 0.0, 12.0, 11.0, 13.0, '','', 112.8, 'T:12.000000,  M:0.000000', 1, 650033) 
2014-10-30 08:19:40,;.?40439700006,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700006', 1, 1, 'B+ Voltage Check', 'NG', 0.0, 12.0, 11.0, 13.0, '','', 75.9, 'T:12.000000,  M: Error-I2C Response Data', 1, 650033) 
2014-10-30 08:27:53,;.?40439700006,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700006', 1, 1, 'B+ Voltage Check', 'NG', 0.0, 12.0, 11.0, 13.0, '','', 476.9, 'T:12.000000,  M:0.000000', 1, 650033) 
2014-10-30 08:31:28,;.?40439700006,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700006', 1, 9, 'Key2 Test', 'NG',4.4,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-30 08:37:25,;.?40439700006,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700006', 1, 9, 'Key2 Test', 'NG',339.4,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-30 08:49:22,;.?40439700006,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700006', 1, 9, 'Key2 Test', 'NG',14.9,'Key Check , i 01 NG92x', 1, 650033) 
2014-10-30 09:13:41,;.?40439700028,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700028', 1, 1, 'B+ Voltage Check', 'NG', 0.0, 12.0, 11.0, 13.0, '','', 347.0, 'T:12.000000,  M:0.040000', 1, 650033) 
2014-10-30 09:32:21,;.?40439700145,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700145', 1, 4, '[RF] Tool Option Write', 'NG',23.9,'_above() not implemented. , c 00 OK0988x , f 00 OK3f01x , g 00 OK3768x , j 00 OKc80ax , p 00 OK0111x', 1, 650033) 
2014-10-30 09:34:58,;.?40439700142,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700142', 1, 5, '[TV] TV check', 'NG/A', 18.0, 0.0, -40.0, 40.0, '400, 400, X, X','0,0,15,16', 34.6, 'Good:100.0 | Error:0.00/0.00/0.000/0.000/0.000 , [A/NG]', 1, 650033) 
2014-10-30 10:27:17,;.?40439700041,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, time, message, machine_no, line_id) values (%d, '40439700041', 1, 4, '[RF] Tool Option Write', 'NG',43.8,'b 00 OK1804x , c 00 OK0988x , c 00 OK0988x , f 00 OK3f01x , g 00 OK3768x , j 00 OKc80ax', 1, 650033) 
2014-10-30 16:52:20,;.?40439700548,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700548', 1, 5, '[TV] TV check', 'NG/V', 95.9, 0.0, -40.0, 40.0, '400, 400, X, X','396,396,21,21', 24.1, 'Good:90.3 | Error:0.00/0.00/0.140/0.001/9.554 , [A/OK]', 1, 650033) 
2014-10-30 16:55:11,;.?40439700570,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700570', 1, 5, '[TV] TV check', 'NG/V', 95.9, 0.0, -40.0, 40.0, '400, 400, X, X','396,396,932,929', 36.5, 'Good:90.3 | Error:0.00/0.00/0.140/0.001/9.554 , [A/OK]', 1, 650033) 
2014-10-30 17:05:56,;.?40439700580,;.?insert into MES.TB_WP_DFT_DETAIL (seq, lotid, run, step_no, step_name, result, measure, target, lower_limit, upper_limit, a_target, a_measure, time, message, machine_no, line_id) values (%d, '40439700580', 1, 5, '[TV] TV check', 'NG/A', 20.0, 0.0, -40.0, 40.0, '400, 400, X, X','396,0,24,18', 37.0, 'Good:100.0 | Error:0.00/0.00/0.000/0.000/0.000 , [A/NG]', 1, 650033) 
